wavenumbers,transmittance
1008.399539,0.852
1009.853496,0.852
1011.307453,0.858
1012.761409,0.861
1014.215366,0.861
1015.669322,0.863
1017.123279,0.863
1018.577236,0.863
1020.031192,0.866
1021.485149,0.866
1022.939106,0.863
1024.393062,0.861
1025.847019,0.857
1027.300976,0.852
1028.754932,0.85
1030.208889,0.847
1031.662846,0.844
1033.116802,0.842
1034.570759,0.841
1036.024715,0.836
1037.478672,0.834
1038.932629,0.8191
1040.386585,0.804
1041.840542,0.794
1043.294499,0.794
1044.748455,0.802
1046.202412,0.803
1047.656369,0.806
1049.110325,0.807
1050.564282,0.807
1052.018238,0.809
1053.472195,0.812
1054.926152,0.812
1056.380108,0.812
1057.834065,0.813
1059.288022,0.819
1060.741978,0.823
1062.195935,0.831
1063.649892,0.832
1065.103848,0.836
1066.557805,0.842
1068.011762,0.842
1069.465718,0.844
1070.919675,0.844
1072.373631,0.844
1073.827588,0.844
1075.281545,0.842
1076.735501,0.841
1078.189458,0.839
1079.643415,0.835
1081.097371,0.832
1082.551328,0.8221
1084.005285,0.812
1085.459241,0.803
1086.913198,0.793
1088.367154,0.791
1089.821111,0.79
1091.275068,0.791
1092.729024,0.796
1094.182981,0.8
1095.636938,0.802
1097.090894,0.803
1098.544851,0.804
1099.998808,0.804
1101.452764,0.806
1102.906721,0.812
1104.360678,0.818
1105.814634,0.823
1107.268591,0.832
1108.722547,0.835
1110.176504,0.838
1111.630461,0.8449
1113.084417,0.864
1114.538374,0.867
1115.992331,0.871
1117.446287,0.873
1118.900244,0.874
1120.354201,0.876
1121.808157,0.877
1123.262114,0.879
1124.71607,0.879
1126.170027,0.879
1127.623984,0.879
1129.07794,0.879
1130.531897,0.879
1131.985854,0.882
1133.43981,0.885
1134.893767,0.886
1136.347724,0.887
1137.80168,0.889
1139.255637,0.89
1140.709593,0.89
1142.16355,0.892
1143.617507,0.896
1145.071463,0.902
1146.52542,0.902
1147.979377,0.903
1149.433333,0.906
1150.88729,0.906
1152.341247,0.903
1153.795203,0.902
1155.24916,0.902
1156.703117,0.901
1158.157073,0.896
1159.61103,0.895
1161.064986,0.893
1162.518943,0.887
1163.9729,0.886
1165.426856,0.886
1166.880813,0.887
1168.33477,0.889
1169.788726,0.889
1171.242683,0.892
1172.69664,0.892
1174.150596,0.892
1175.604553,0.892
1177.058509,0.889
1178.512466,0.887
1179.966423,0.889
1181.420379,0.895
1182.874336,0.9029
1184.328293,0.9139
1185.782249,0.922
1187.236206,0.922
1188.690163,0.924
1190.144119,0.925
1191.598076,0.927
1193.052033,0.927
1194.505989,0.928
1195.959946,0.931
1197.413902,0.931
1198.867859,0.931
1200.321816,0.931
1201.775772,0.933
1203.229729,0.933
1204.683686,0.934
1206.137642,0.934
1207.591599,0.934
1209.045556,0.935
1210.499512,0.94
1211.953469,0.941
1213.407425,0.943
1214.861382,0.943
1216.315339,0.943
1217.769295,0.943
1219.223252,0.943
1220.677209,0.943
1222.131165,0.941
1223.585122,0.941
1225.039079,0.938
1226.493035,0.937
1227.946992,0.934
1229.400949,0.934
1230.854905,0.934
1232.308862,0.931
1233.762818,0.93
1235.216775,0.925
1236.670732,0.924
1238.124688,0.924
1239.578645,0.922
1241.032602,0.921
1242.486558,0.919
1243.940515,0.919
1245.394472,0.918
1246.848428,0.918
1248.302385,0.919
1249.756341,0.919
1251.210298,0.918
1252.664255,0.917
1254.118211,0.914
1255.572168,0.912
1257.026125,0.912
1258.480081,0.914
1259.934038,0.915
1261.387995,0.917
1262.841951,0.918
1264.295908,0.919
1265.749864,0.921
1267.203821,0.922
1268.657778,0.921
1270.111734,0.918
1271.565691,0.917
1273.019648,0.917
1274.473604,0.919
1275.927561,0.924
1277.381518,0.928
1278.835474,0.933
1280.289431,0.934
1281.743388,0.937
1283.197344,0.937
1284.651301,0.937
1286.105257,0.935
1287.559214,0.934
1289.013171,0.934
1290.467127,0.933
1291.921084,0.933
1293.375041,0.933
1294.828997,0.933
1296.282954,0.931
1297.736911,0.931
1299.190867,0.93
1300.644824,0.927
1302.09878,0.922
1303.552737,0.921
1305.006694,0.919
1306.46065,0.919
1307.914607,0.917
1309.368564,0.917
1310.82252,0.912
1312.276477,0.906
1313.730434,0.903
1315.18439,0.903
1316.638347,0.903
1318.092304,0.903
1319.54626,0.902
1321.000217,0.902
1322.454173,0.902
1323.90813,0.901
1325.362087,0.898
1326.816043,0.896
1328.27,0.895
1329.723957,0.895
1331.177913,0.895
1332.63187,0.893
1334.085827,0.892
1335.539783,0.887
1336.99374,0.885
1338.447696,0.883
1339.901653,0.88
1341.35561,0.88
1342.809566,0.879
1344.263523,0.879
1345.71748,0.877
1347.171436,0.877
1348.625393,0.874
1350.07935,0.873
1351.533306,0.871
1352.987263,0.87
1354.44122,0.868
1355.895176,0.866
1357.349133,0.863
1358.803089,0.863
1360.257046,0.861
1361.711003,0.858
1363.164959,0.854
1364.618916,0.851
1366.072873,0.85
1367.526829,0.842
1368.980786,0.841
1370.434743,0.8281
1371.888699,0.8151
1373.342656,0.8021
1374.796612,0.788
1376.250569,0.772
1377.704526,0.768
1379.158482,0.752
1380.612439,0.7321
1382.066396,0.723
1383.520352,0.72
1384.974309,0.719
1386.428266,0.72
1387.882222,0.7269
1389.336179,0.733
1390.790136,0.74
1392.244092,0.746
1393.698049,0.762
1395.152005,0.764
1396.605962,0.768
1398.059919,0.772
1399.513875,0.777
1400.967832,0.783
1402.421789,0.786
1403.875745,0.787
1405.329702,0.788
1406.783659,0.79
1408.237615,0.791
1409.691572,0.793
1411.145528,0.799
1412.599485,0.799
1414.053442,0.8
1415.507398,0.8
1416.961355,0.8
1418.415312,0.802
1419.869268,0.802
1421.323225,0.804
1422.777182,0.81
1424.231138,0.81
1425.685095,0.81
1427.139051,0.81
1428.593008,0.809
1430.046965,0.803
1431.500921,0.799
1432.954878,0.783
1434.408835,0.772
1435.862791,0.765
1437.316748,0.764
1438.770705,0.756
1440.224661,0.748
1441.678618,0.746
1443.132575,0.7331
1444.586531,0.726
1446.040488,0.723
1447.494444,0.723
1448.948401,0.724
1450.402358,0.724
1451.856314,0.726
1453.310271,0.726
1454.764228,0.727
1456.218184,0.73
1457.672141,0.73
1459.126098,0.73
1460.580054,0.7211
1462.034011,0.717
1463.487967,0.713
1464.941924,0.705
1466.395881,0.701
1467.849837,0.697
1469.303794,0.6711
1470.757751,0.6601
1472.211707,0.653
1473.665664,0.65
1475.119621,0.6411
1476.573577,0.622
1478.027534,0.602
1479.481491,0.585
1480.935447,0.576
1482.389404,0.566
1483.84336,0.5511
1485.297317,0.544
1486.751274,0.542
1488.20523,0.535
1489.659187,0.534
1491.113144,0.532
1492.5671,0.531
1494.021057,0.529
1495.475014,0.531
1496.92897,0.534
1498.382927,0.54
1499.836883,0.545
1501.29084,0.553
1502.744797,0.554
1504.198753,0.5758
1505.65271,0.595
1507.106667,0.614
1508.560623,0.633
1510.01458,0.647
1511.468537,0.6649
1512.922493,0.668
1514.37645,0.672
1515.830407,0.673
1517.284363,0.675
1518.73832,0.676
1520.192276,0.679
1521.646233,0.681
1523.10019,0.682
1524.554146,0.682
1526.008103,0.684
1527.46206,0.684
1528.916016,0.685
1530.369973,0.685
1531.82393,0.685
1533.277886,0.684
1534.731843,0.682
1536.185799,0.679
1537.639756,0.672
1539.093713,0.671
1540.547669,0.671
1542.001626,0.672
1543.455583,0.673
1544.909539,0.673
1546.363496,0.675
1547.817453,0.676
1549.271409,0.682
1550.725366,0.688
1552.179322,0.691
1553.633279,0.692
1555.087236,0.694
1556.541192,0.698
1557.995149,0.701
1559.449106,0.7
1560.903062,0.695
1562.357019,0.695
1563.810976,0.691
1565.264932,0.688
1566.718889,0.684
1568.172846,0.682
1569.626802,0.682
1571.080759,0.679
1572.534715,0.679
1573.988672,0.679
1575.442629,0.679
1576.896585,0.678
1578.350542,0.672
1579.804499,230.668
1581.258455,0.656
1582.712412,230.668
1584.166369,230.668
1585.620325,230.668
1587.074282,230.668
1588.528238,230.668
1589.982195,230.668
1591.436152,230.668
1592.890108,230.668
1594.344065,230.668
1595.798022,230.668
1597.251978,230.668
1598.705935,230.668
1600.159892,230.668
1601.613848,230.668
1603.067805,230.668
1604.521762,230.668
1605.975718,230.668
1607.429675,230.668
1608.883631,0.416
1610.337588,0.42
1611.791545,0.436
1613.245501,0.446
1614.699458,0.457
1616.153415,0.4779
1617.607371,0.4989
1619.061328,0.5248
1620.515285,0.6074
1621.969241,0.627
1623.423198,0.643
1624.877154,0.6949
1626.331111,0.7638
1627.785068,0.8188
1629.239024,0.8827
1630.692981,0.887
1632.146938,0.892
1633.600894,0.896
1635.054851,0.901
1636.508808,0.905
1637.962764,0.909
1639.416721,0.912
1640.870678,0.914
1642.324634,0.914
1643.778591,0.914
1645.232547,0.914
1646.686504,0.914
1648.140461,0.912
1649.594417,0.912
1651.048374,0.914
1652.502331,0.915
1653.956287,0.915
1655.410244,0.918
1656.864201,0.918
1658.318157,0.918
1659.772114,0.919
1661.22607,0.921
1662.680027,0.922
1664.133984,0.922
1665.58794,0.922
1667.041897,0.924
1668.495854,0.925
1669.94981,0.933
1671.403767,0.933
1672.857724,0.934
1674.31168,0.934
1675.765637,0.934
1677.219593,0.934
1678.67355,0.934
1680.127507,0.935
1681.581463,0.938
1683.03542,0.941
1684.489377,0.944
1685.943333,0.947
1687.39729,0.947
1688.851247,0.949
1690.305203,0.949
1691.75916,0.95
1693.213117,0.95
1694.667073,0.95
1696.12103,0.953
1697.574986,0.956
1699.028943,0.957
1700.4829,0.959
1701.936856,0.96
1703.390813,0.962
1704.84477,0.963
1706.298726,0.965
1707.752683,0.966
1709.20664,0.965
1710.660596,0.96
1712.114553,0.956
1713.568509,0.954
1715.022466,0.954
1716.476423,0.957
1717.930379,0.96
1719.384336,0.962
1720.838293,0.96
1722.292249,0.959
1723.746206,0.954
1725.200163,0.954
1726.654119,0.953
1728.108076,0.944
1729.562033,0.937
1731.015989,0.934
1732.469946,0.934
1733.923902,0.933
1735.377859,0.933
1736.831816,0.934
1738.285772,0.934
1739.739729,0.934
1741.193686,0.94
1742.647642,0.935
1744.101599,0.933
1745.555556,0.931
1747.009512,0.931
1748.463469,0.931
1749.917425,0.935
1751.371382,0.938
1752.825339,0.938
1754.279295,0.94
1755.733252,0.94
1757.187209,0.94
1758.641165,0.941
1760.095122,0.943
1761.549079,0.943
1763.003035,0.943
1764.456992,0.943
1765.910949,0.941
1767.364905,0.941
1768.818862,0.944
1770.272818,0.946
1771.726775,0.949
1773.180732,0.95
1774.634688,0.95
1776.088645,0.95
1777.542602,0.951
1778.996558,0.951
1780.450515,0.954
1781.904472,0.957
1783.358428,0.965
1784.812385,0.966
1786.266341,0.969
1787.720298,0.97
1789.174255,0.97
1790.628211,0.972
1792.082168,0.975
1793.536125,0.975
1794.990081,0.978
1796.444038,0.979
1797.897995,0.979
1799.351951,0.978
1800.805908,0.976
1802.259864,0.975
1803.713821,0.975
1805.167778,0.975
1806.621734,0.975
1808.075691,0.973
1809.529648,0.973
1810.983604,0.973
1812.437561,0.973
1813.891518,0.975
1815.345474,0.975
1816.799431,0.975
1818.253388,0.973
1819.707344,0.972
1821.161301,0.973
1822.615257,0.973
1824.069214,0.973
1825.523171,0.973
1826.977127,0.973
1828.431084,0.973
1829.885041,0.97
1831.338997,0.963
1832.792954,0.96
1834.246911,0.954
1835.700867,0.953
1837.154824,0.947
1838.60878,0.946
1840.062737,0.94
1841.516694,0.935
1842.97065,0.928
1844.424607,0.927
1845.878564,0.927
1847.33252,0.928
1848.786477,0.928
1850.240434,0.93
1851.69439,0.933
1853.148347,0.933
1854.602304,0.933
1856.05626,0.934
1857.510217,0.938
1858.964173,0.941
1860.41813,0.944
1861.872087,0.953
1863.326043,0.957
1864.78,0.962
1866.233957,0.963
1867.687913,0.9699
1869.14187,0.97
1870.595827,0.972
1872.049783,0.976
1873.50374,0.976
1874.957696,0.978
1876.411653,0.978
1877.86561,0.978
1879.319566,0.979
1880.773523,0.979
1882.22748,0.978
1883.681436,0.978
1885.135393,0.978
1886.58935,0.978
1888.043306,0.976
1889.497263,0.975
1890.95122,0.973
1892.405176,0.973
1893.859133,0.973
1895.313089,0.975
1896.767046,0.973
1898.221003,0.972
1899.674959,0.969
1901.128916,0.969
1902.582873,0.967
1904.036829,0.965
1905.490786,0.963
1906.944743,0.963
1908.398699,0.963
1909.852656,0.963
1911.306612,0.962
1912.760569,0.956
1914.214526,0.951
1915.668482,0.951
1917.122439,0.944
1918.576396,0.94
1920.030352,0.934
1921.484309,0.931
1922.938266,0.924
1924.392222,0.924
1925.846179,0.922
1927.300136,0.924
1928.754092,0.927
1930.208049,0.934
1931.662005,0.934
1933.115962,0.933
1934.569919,0.933
1936.023875,0.933
1937.477832,0.931
1938.931789,0.933
1940.385745,0.937
1941.839702,0.946
1943.293659,0.953
1944.747615,0.96
1946.201572,0.96
1947.655528,0.962
1949.109485,0.963
1950.563442,0.97
1952.017398,0.972
1953.471355,0.969
1954.925312,0.969
1956.379268,0.967
1957.833225,0.963
1959.287182,0.963
1960.741138,0.97
1962.195095,0.976
1963.649051,0.978
1965.103008,0.979
1966.556965,0.981
1968.010921,0.981
1969.464878,0.981
1970.918835,0.982
1972.372791,0.982
1973.826748,0.982
1975.280705,0.982
1976.734661,0.981
1978.188618,0.981
1979.642575,0.981
1981.096531,0.981
1982.550488,0.981
1984.004444,0.981
1985.458401,0.981
1986.912358,0.981
1988.366314,0.981
1989.820271,0.981
1991.274228,0.981
1992.728184,0.981
1994.182141,0.981
1995.636098,0.981
1997.090054,0.981
1998.544011,0.981
1999.997967,0.979
2001.451924,0.979
2002.905881,0.979
2004.359837,0.979
2005.813794,0.979
2007.267751,0.979
2008.721707,0.979
2010.175664,0.979
2011.629621,0.979
2013.083577,0.9785
2014.537534,0.978
2015.991491,0.978
2017.445447,0.978
2018.899404,0.9766
2020.35336,0.9751
2021.807317,0.975
2023.261274,0.975
2024.71523,0.9741
2026.169187,0.9731
2027.623144,0.973
2029.0771,0.973
2030.531057,0.973
2031.985014,0.973
2033.43897,0.973
2034.892927,0.973
2036.346883,0.9739
2037.80084,0.9748
2039.254797,0.975
2040.708753,0.975
2042.16271,0.9754
2043.616667,0.9759
2045.070623,0.976
2046.52458,0.976
2047.978537,0.976
2049.432493,0.976
2050.88645,0.976
2052.340407,0.976
2053.794363,0.9768
2055.24832,0.9778
2056.702276,0.978
2058.156233,0.978
2059.61019,0.9792
2061.064146,0.9807
2062.518103,0.981
2063.97206,0.981
2065.426016,0.9803
2066.879973,0.9793
2068.33393,0.979
2069.787886,0.979
2071.241843,0.9776
2072.695799,0.9756
2074.149756,0.975
2075.603713,0.975
2077.057669,0.9743
2078.511626,0.9733
2079.965583,0.9727
2081.419539,0.9722
2082.873496,0.972
2084.327453,0.972
2085.781409,0.972
2087.235366,0.972
2088.689322,0.9713
2090.143279,0.9703
2091.597236,0.97
2093.051192,0.97
2094.505149,0.97
2095.959106,0.97
2097.413062,0.9706
2098.867019,0.9716
2100.320976,0.972
2101.774932,0.972
2103.228889,0.972
2104.682846,0.972
2106.136802,0.972
2107.590759,0.972
2109.044715,0.972
2110.498672,0.972
2111.952629,0.9714
2113.406585,0.9705
2114.860542,0.97
2116.314499,0.97
2117.768455,0.97
2119.222412,0.97
2120.676369,0.97
2122.130325,0.97
2123.584282,0.97
2125.038238,0.97
2126.492195,0.97
2127.946152,0.97
2129.400108,0.97
2130.854065,0.97
2132.308022,0.97
2133.761978,0.97
2135.215935,0.97
2136.669892,0.97
2138.123848,0.97
2139.577805,0.97
2141.031762,0.9698
2142.485718,0.9693
2143.939675,0.969
2145.393631,0.969
2146.847588,0.969
2148.301545,0.969
2149.755501,0.969
2151.209458,0.969
2152.663415,0.969
2154.117371,0.969
2155.571328,0.9686
2157.025285,0.9676
2158.479241,0.967
2159.933198,0.967
2161.387154,0.9674
2162.841111,0.9684
2164.295068,0.969
2165.749024,0.969
2167.202981,0.969
2168.656938,0.969
2170.110894,0.969
2171.564851,0.969
2173.018808,0.9692
2174.472764,0.9697
2175.926721,0.9703
2177.380678,0.9713
2178.834634,0.9722
2180.288591,0.9727
2181.742547,0.9733
2183.196504,0.9743
2184.650461,0.975
2186.104417,0.975
2187.558374,0.9746
2189.012331,0.9731
2190.466287,0.972
2191.920244,0.972
2193.374201,0.9717
2194.828157,0.9708
2196.282114,0.97
2197.73607,0.97
2199.190027,0.97
2200.643984,0.97
2202.09794,0.97
2203.551897,0.97
2205.005854,0.9699
2206.45981,0.9694
2207.913767,0.9688
2209.367724,0.9678
2210.82168,0.967
2212.275637,0.967
2213.729593,0.9669
2215.18355,0.9664
2216.637507,0.966
2218.091463,0.966
2219.54542,0.966
2220.999377,0.966
2222.453333,0.9661
2223.90729,0.9666
2225.361247,0.967
2226.815203,0.967
2228.26916,0.9671
2229.723117,0.9681
2231.177073,0.969
2232.63103,0.969
2234.084986,0.969
2235.538943,0.969
2236.9929,0.969
2238.446856,0.969
2239.900813,0.969
2241.35477,0.969
2242.808726,0.9688
2244.262683,0.9658
2245.71664,0.963
2247.170596,0.963
2248.624553,0.963
2250.078509,0.963
2251.532466,0.963
2252.986423,0.964
2254.440379,0.965
2255.894336,0.965
2257.348293,0.965
2258.802249,0.9635
2260.256206,0.962
2261.710163,0.962
2263.164119,0.962
2264.618076,0.962
2266.072033,0.962
2267.525989,0.961
2268.979946,0.96
2270.433902,0.96
