wavenumber,transmittance,wavelengths,absorbance
4000.0,0.9993094630025899,2.5,0.0003
3999.0,0.9995395890030879,2.5006251562890722,0.0002
3998.0,0.9995395890030879,2.5012506253126565,0.0002
3997.0,0.9995395890030879,2.501876407305479,0.0002
3996.0,0.9995395890030879,2.5025025025025025,0.0002
3995.0,0.9995395890030879,2.5031289111389237,0.0002
3994.0,0.9995395890030879,2.5037556334501754,0.0002
3993.0,0.9997697679981566,2.504382669671926,0.0001
3992.0,0.9997697679981566,2.50501002004008,0.0001
3991.0,0.9997697679981566,2.5056376847907793,0.0001
3990.0,0.9997697679981566,2.506265664160401,0.0001
3989.0,0.9997697679981566,2.5068939583855605,0.0001
3988.0,1.0,2.507522567703109,0.0
3987.0,1.0,2.508151492350138,0.0
3986.0,1.0,2.5087807325639737,0.0
3985.0,0.9997697679981566,2.5094102885821834,0.0001
3984.0,0.9997697679981566,2.5100401606425704,0.0001
3983.0,0.9997697679981566,2.5106703489831785,0.0001
3982.0,0.9997697679981566,2.5113008538422905,0.0001
3981.0,0.9997697679981566,2.5119316754584275,0.0001
3980.0,1.0,2.512562814070352,0.0
3979.0,1.0,2.5131942699170646,-0.0
3978.0,1.0,2.513826043237808,-0.0
3977.0,1.0,2.5144581342720644,-0.0
3976.0,1.0,2.515090543259557,-0.0
3975.0,1.0,2.5157232704402515,-0.0
3974.0,1.0,2.5163563160543534,-0.0
3973.0,1.0,2.5169896803423106,-0.0
3972.0,1.0002302850208253,2.5176233635448138,-0.0001
3971.0,1.0002302850208253,2.5182573659027954,-0.0001
3970.0,1.0002302850208253,2.5188916876574305,-0.0001
3969.0,1.0002302850208253,2.5195263290501386,-0.0001
3968.0,1.0002302850208253,2.5201612903225805,-0.0001
3967.0,1.0002302850208253,2.5207965717166623,-0.0001
3966.0,1.0002302850208253,2.5214321734745337,-0.0001
3965.0,1.0002302850208253,2.5220680958385877,-0.0001
3964.0,1.0002302850208253,2.522704339051463,-0.0001
3963.0,1.0,2.5233409033560434,-0.0
3962.0,1.0,2.523977788995457,-0.0
3961.0,1.0002302850208253,2.5246149962130775,-0.0001
3960.0,1.0002302850208253,2.525252525252525,-0.0001
3959.0,1.0002302850208253,2.525890376357666,-0.0001
3958.0,1.0,2.526528549772612,-0.0
3957.0,1.0,2.5271670457417237,-0.0
3956.0,1.0002302850208253,2.5278058645096055,-0.0001
3955.0,1.0002302850208253,2.5284450063211126,-0.0001
3954.0,1.0002302850208253,2.5290844714213456,-0.0001
3953.0,1.0,2.5297242600556538,-0.0
3952.0,1.0,2.5303643724696356,-0.0
3951.0,1.0,2.531004808909137,-0.0
